# E_keV  H_total  H_bb
4.308667e-03  4.050943e-02  8.130248e-02
4.754779e-03  4.923980e-02  9.875174e-02
5.247082e-03  5.984649e-02  1.199133e-01
5.790357e-03  7.273089e-02  1.455655e-01
6.389882e-03  8.836816e-02  1.766465e-01
7.051481e-03  1.073465e-01  2.142847e-01
7.781580e-03  1.303550e-01  2.598364e-01
8.587273e-03  1.582327e-01  3.149289e-01
9.476387e-03  1.919840e-01  3.815117e-01
1.045756e-02  2.327942e-01  4.619157e-01
1.154032e-02  2.820949e-01  5.589221e-01
1.273518e-02  3.415661e-01  6.758412e-01
1.405377e-02  4.132047e-01  8.166029e-01
1.550887e-02  4.993615e-01  9.858580e-01
1.711464e-02  6.027926e-01  1.189092e+00
1.888666e-02  7.267174e-01  1.432748e+00
2.084216e-02  8.748747e-01  1.724360e+00
2.300012e-02  1.051594e+00  2.072692e+00
2.538152e-02  1.261815e+00  2.487875e+00
2.800948e-02  1.511191e+00  2.981535e+00
3.090954e-02  1.806106e+00  3.566904e+00
3.410987e-02  2.153664e+00  4.258887e+00
3.764155e-02  2.561785e+00  5.074064e+00
4.153890e-02  3.039105e+00  6.030601e+00
4.583978e-02  3.594950e+00  7.148024e+00
5.058596e-02  4.239177e+00  8.446789e+00
5.582355e-02  4.982062e+00  9.947614e+00
6.160344e-02  5.833944e+00  1.167046e+01
6.798177e-02  6.804833e+00  1.363311e+01
7.502050e-02  7.904121e+00  1.584922e+01
8.278800e-02  9.139846e+00  1.832583e+01
9.135975e-02  1.051798e+01  2.106017e+01
1.008190e-01  1.204154e+01  2.403588e+01
1.112576e-01  1.370978e+01  2.721873e+01
1.227771e-01  1.551727e+01  3.055197e+01
1.354892e-01  1.745256e+01  3.395201e+01
1.495176e-01  1.949734e+01  3.730487e+01
1.649984e-01  2.162555e+01  4.046478e+01
1.820821e-01  2.380338e+01  4.325605e+01
2.009346e-01  2.598808e+01  4.547983e+01
2.217391e-01  2.812748e+01  4.692717e+01
2.446976e-01  3.016268e+01  4.739925e+01
2.700332e-01  3.202957e+01  4.673414e+01
2.979921e-01  3.365902e+01  4.483779e+01
3.288457e-01  3.497757e+01  4.171401e+01
3.628939e-01  3.591951e+01  3.748608e+01
4.004674e-01  3.642489e+01  3.240161e+01
4.419312e-01  3.644218e+01  2.681377e+01
4.876881e-01  3.593427e+01  2.113735e+01
5.381826e-01  3.489283e+01  1.578552e+01
5.939052e-01  3.332809e+01  1.110172e+01
6.553972e-01  3.126796e+01  7.305016e+00
7.232560e-01  2.877911e+01  4.465523e+00
7.981409e-01  2.594768e+01  2.516371e+00
8.807792e-01  2.287394e+01  1.296084e+00
9.719737e-01  1.967762e+01  6.044841e-01
1.072610e+00  1.648631e+01  2.526719e-01
1.183667e+00  1.341755e+01  9.358759e-02
1.306222e+00  1.057775e+01  3.033402e-02
1.441466e+00  8.055479e+00  8.485772e-03
1.590713e+00  5.905703e+00  2.017813e-03
1.755413e+00  4.151669e+00  4.010436e-04
1.937166e+00  2.788664e+00  6.539732e-05
2.137738e+00  1.782265e+00  8.572110e-06
2.359076e+00  1.078692e+00  8.829888e-07
2.603331e+00  6.157247e-01  6.971496e-08
2.872876e+00  3.300012e-01  4.104325e-09
3.170329e+00  1.652743e-01  1.747858e-10
3.498580e+00  7.704879e-02  5.206621e-12
3.860818e+00  3.330408e-02  1.045492e-13
4.260561e+00  1.329485e-02  1.358520e-15
4.701693e+00  4.885542e-03  1.091996e-17
5.188499e+00  1.647504e-03  5.166404e-20
5.725708e+00  5.078865e-04  1.361867e-22
6.318540e+00  1.426766e-04  1.882607e-25
6.972752e+00  3.640034e-05  1.276552e-28
7.694700e+00  8.391890e-06  3.944050e-32
8.491397e+00  1.741313e-06  5.118301e-36
9.370584e+00  3.237711e-07  2.550255e-40
1.034080e+01  5.362250e-08  4.418474e-45
