# E_keV  H_X  H_O  H_total  H_bb
4.308667e-03  3.160738e-02  2.142167e-02  5.302905e-02  8.130248e-02
4.754779e-03  4.441886e-02  1.710629e-02  6.152515e-02  9.875174e-02
5.247082e-03  4.868273e-02  4.861219e-02  9.729492e-02  1.199133e-01
5.790357e-03  5.501834e-02  2.665006e-02  8.166840e-02  1.455655e-01
6.389882e-03  3.310052e-02  4.124078e-02  7.434130e-02  1.766465e-01
7.051481e-03  8.255298e-02  6.935341e-01  7.760871e-01  2.142847e-01
7.781580e-03  1.074686e-01  7.280555e-02  1.802741e-01  2.598364e-01
8.587273e-03  1.376953e-01  1.301695e-01  2.678648e-01  3.149289e-01
9.476387e-03  2.562513e-01  1.102684e-01  3.665197e-01  3.815117e-01
1.045756e-02  1.785001e-01  1.720587e-01  3.505587e-01  4.619157e-01
1.154032e-02  2.537103e-01  2.319763e-01  4.856865e-01  5.589221e-01
1.273518e-02  3.669084e-01  3.177781e-01  6.846866e-01  6.758412e-01
1.405377e-02  3.389631e-01  4.151544e-01  7.541175e-01  8.166029e-01
1.550887e-02  4.095628e-01  5.681971e-01  9.777599e-01  9.858580e-01
1.711464e-02  4.266813e-01  5.697787e-01  9.964600e-01  1.189092e+00
1.888666e-02  6.645107e-01  6.520823e-01  1.316593e+00  1.432748e+00
2.084216e-02  7.357875e-01  9.007616e-01  1.636549e+00  1.724360e+00
2.300012e-02  8.883598e-01  1.000046e+00  1.888406e+00  2.072692e+00
2.538152e-02  1.055702e+00  1.141307e+00  2.197009e+00  2.487875e+00
2.800948e-02  1.333052e+00  1.423800e+00  2.756852e+00  2.981535e+00
3.090954e-02  1.524462e+00  1.646104e+00  3.170566e+00  3.566904e+00
3.410987e-02  1.822092e+00  1.926128e+00  3.748220e+00  4.258887e+00
3.764155e-02  2.133664e+00  2.320950e+00  4.454614e+00  5.074064e+00
4.153890e-02  2.568838e+00  2.656096e+00  5.224934e+00  6.030601e+00
4.583978e-02  3.041481e+00  3.195842e+00  6.237323e+00  7.148024e+00
5.058596e-02  3.568102e+00  3.859801e+00  7.427903e+00  8.446789e+00
5.582355e-02  4.176377e+00  4.452684e+00  8.629061e+00  9.947614e+00
6.160344e-02  4.988207e+00  5.220254e+00  1.020846e+01  1.167046e+01
6.798177e-02  5.931289e+00  6.185859e+00  1.211715e+01  1.363311e+01
7.502050e-02  6.882369e+00  7.263090e+00  1.414546e+01  1.584922e+01
8.278800e-02  8.113471e+00  8.438928e+00  1.655240e+01  1.832583e+01
9.135975e-02  9.429588e+00  9.867824e+00  1.929741e+01  2.106017e+01
1.008190e-01  1.101281e+01  1.149576e+01  2.250858e+01  2.403588e+01
1.112576e-01  1.282170e+01  1.328483e+01  2.610652e+01  2.721873e+01
1.227771e-01  1.484402e+01  1.527375e+01  3.011777e+01  3.055197e+01
1.354892e-01  1.711166e+01  1.758205e+01  3.469371e+01  3.395201e+01
1.495176e-01  1.959680e+01  2.002305e+01  3.961985e+01  3.730487e+01
1.649984e-01  2.233311e+01  2.278749e+01  4.512059e+01  4.046478e+01
1.820821e-01  2.524672e+01  2.568193e+01  5.092865e+01  4.325605e+01
2.009346e-01  2.825624e+01  2.866546e+01  5.692170e+01  4.547983e+01
2.217391e-01  3.116008e+01  3.147330e+01  6.263337e+01  4.692717e+01
2.446976e-01  3.365923e+01  3.384185e+01  6.750108e+01  4.739925e+01
2.700332e-01  3.541481e+01  3.542073e+01  7.083555e+01  4.673414e+01
2.979921e-01  3.621847e+01  3.590817e+01  7.212664e+01  4.483779e+01
3.288457e-01  3.595486e+01  3.524499e+01  7.119986e+01  4.171401e+01
3.628939e-01  3.457974e+01  3.347381e+01  6.805355e+01  3.748608e+01
4.004674e-01  3.240610e+01  3.085842e+01  6.326452e+01  3.240161e+01
4.419312e-01  2.954969e+01  2.759461e+01  5.714430e+01  2.681377e+01
4.876881e-01  2.620303e+01  2.390304e+01  5.010607e+01  2.113735e+01
5.381826e-01  2.256178e+01  2.001348e+01  4.257527e+01  1.578552e+01
5.939052e-01  1.883997e+01  1.614603e+01  3.498600e+01  1.110172e+01
6.553972e-01  1.521549e+01  1.250337e+01  2.771885e+01  7.305016e+00
7.232560e-01  1.185784e+01  9.261820e+00  2.111966e+01  4.465523e+00
7.981409e-01  8.892627e+00  6.528496e+00  1.542112e+01  2.516371e+00
8.807792e-01  6.394729e+00  4.355113e+00  1.074984e+01  1.296084e+00
9.719737e-01  4.393719e+00  2.731089e+00  7.124808e+00  6.044841e-01
1.072610e+00  2.869807e+00  1.596671e+00  4.466478e+00  2.526719e-01
1.183667e+00  1.771162e+00  8.616904e-01  2.632852e+00  9.358759e-02
1.306222e+00  1.024970e+00  4.240793e-01  1.449050e+00  3.033402e-02
1.441466e+00  5.505859e-01  1.875266e-01  7.381126e-01  8.485772e-03
