 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
     5.300    12.600
 -7.40  -1.9826   1.999   0.202 65.048  2.114  1.001  1.000 3.62E-04 4.92E-05 0.00E+00 5.97E-03 -4.982 -4.982
 -7.20  -1.7827   1.999   0.202 64.127  2.114  1.001  1.000 4.13E-04 5.73E-05 0.00E+00 6.88E-03 -4.970 -4.970
 -7.00  -1.5827   1.999   0.202 63.207  2.114  1.001  1.000 4.71E-04 6.69E-05 0.00E+00 7.90E-03 -4.956 -4.956
 -6.80  -1.3828   1.998   0.203 62.287  2.113  1.001  1.000 5.35E-04 7.81E-05 0.00E+00 9.07E-03 -4.941 -4.941
 -6.60  -1.1829   1.998   0.203 61.367  2.113  1.002  1.000 6.06E-04 9.13E-05 0.00E+00 1.04E-02 -4.922 -4.924
 -6.40  -0.9830   1.997   0.203 60.447  2.113  1.002  0.999 6.84E-04 1.07E-04 0.00E+00 1.19E-02 -4.901 -4.903
 -6.20  -0.7831   1.997   0.203 59.528  2.112  1.002  0.999 7.70E-04 1.26E-04 0.00E+00 1.35E-02 -4.874 -4.878
 -6.00  -0.5833   1.996   0.203 58.608  2.112  1.002  0.999 8.65E-04 1.48E-04 0.00E+00 1.54E-02 -4.837 -4.844
 -5.80  -0.3834   1.996   0.203 57.689  2.112  1.003  0.999 9.69E-04 1.75E-04 0.00E+00 1.75E-02 -4.784 -4.798
 -5.60  -0.1835   1.995   0.203 56.768  2.112  1.003  0.999 1.08E-03 2.09E-04 0.00E+00 1.98E-02 -4.715 -4.736
 -5.40   0.0163   1.994   0.202 55.849  2.113  1.003  0.999 1.21E-03 2.51E-04 1.35E-19 2.24E-02 -4.617 -4.653
 -5.20   0.2162   1.993   0.202 54.929  2.115  1.004  0.999 1.35E-03 3.04E-04 5.31E-19 2.52E-02 -4.500 -4.549
 -5.00   0.4160   1.993   0.202 54.010  2.119  1.004  0.999 1.50E-03 3.74E-04 2.09E-18 2.82E-02 -4.412 -4.451
 -4.80   0.6158   1.992   0.201 53.091  2.125  1.005  0.999 1.68E-03 4.66E-04 8.21E-18 3.14E-02 -4.287 -4.319
 -4.60   0.8156   1.991   0.200 52.171  2.136  1.005  0.999 1.90E-03 5.92E-04 3.23E-17 3.49E-02 -4.125 -4.164
 -4.40   1.0154   1.990   0.198 51.251  2.153  1.006  0.999 2.16E-03 7.65E-04 1.27E-16 3.85E-02 -3.942 -3.990
 -4.20   1.2152   1.989   0.196 50.333  2.181  1.008  0.999 2.49E-03 1.01E-03 4.97E-16 4.21E-02 -3.764 -3.809
 -4.00   1.4150   1.988   0.192 49.412  2.225  1.010  0.999 2.93E-03 1.37E-03 1.95E-15 4.60E-02 -3.599 -3.641
