 Output of ioneqmn.

                       thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
     5.700    13.500
 -7.40  -0.3829   1.998    -3.08  63.87   1.22  1.001  1.000 6.21E-04 9.75E-05 0.00E+00 1.12E-02  -6.415  -6.415
 -7.20  -0.1830   1.997    -3.08  62.95   1.22  1.001  0.999 6.96E-04 1.13E-04 0.00E+00 1.27E-02  -6.403  -6.403
 -7.00   0.0168   1.997    -3.08  62.03   1.22  1.001  0.999 7.76E-04 1.31E-04 0.00E+00 1.45E-02  -6.390  -6.390
 -6.80   0.2167   1.996    -3.08  61.12   1.22  1.001  0.999 8.61E-04 1.52E-04 0.00E+00 1.64E-02  -6.376  -6.376
 -6.60   0.4166   1.996    -3.08  60.20   1.22  1.001  0.999 9.52E-04 1.76E-04 0.00E+00 1.86E-02  -6.362  -6.362
 -6.40   0.6165   1.995    -3.08  59.28   1.22  1.002  0.999 1.05E-03 2.04E-04 0.00E+00 2.09E-02  -6.347  -6.347
 -6.20   0.8163   1.994    -3.08  58.37   1.22  1.002  0.999 1.15E-03 2.36E-04 0.00E+00 2.34E-02  -6.332  -6.332
 -6.00   1.0162   1.994    -3.08  57.45   1.22  1.002  0.999 1.26E-03 2.74E-04 0.00E+00 2.62E-02  -6.316  -6.316
 -5.80   1.2161   1.993    -3.08  56.53   1.22  1.002  0.999 1.37E-03 3.17E-04 0.00E+00 2.92E-02  -6.299  -6.299
 -5.60   1.4159   1.993    -3.07  55.62   1.22  1.002  0.999 1.48E-03 3.66E-04 0.00E+00 3.23E-02  -6.281  -6.281
 -5.40   1.6158   1.992    -3.07  54.71   1.22  1.002  0.999 1.60E-03 4.23E-04 0.00E+00 3.55E-02  -6.260  -6.260
 -5.20   1.8157   1.991    -3.07  53.79   1.22  1.002  0.999 1.73E-03 4.89E-04 0.00E+00 3.89E-02  -6.237  -6.237
 -5.00   2.0156   1.991    -3.07  52.88   1.22  1.003  0.999 1.87E-03 5.65E-04 0.00E+00 4.24E-02  -6.208  -6.209
 -4.80   2.2154   1.990    -3.07  51.96   1.22  1.003  0.999 2.02E-03 6.53E-04 0.00E+00 4.60E-02  -6.173  -6.174
 -4.60   2.4153   1.990    -3.07  51.05   1.22  1.003  0.999 2.17E-03 7.55E-04 0.00E+00 4.97E-02  -6.128  -6.130
 -4.40   2.6152   1.989    -3.07  50.14   1.22  1.003  0.999 2.34E-03 8.72E-04 0.00E+00 5.34E-02  -6.070  -6.073
 -4.20   2.8151   1.989    -3.06  49.22   1.23  1.003  0.999 2.53E-03 1.01E-03 0.00E+00 5.75E-02  -5.995  -6.002
 -4.00   3.0150   1.988    -3.06  48.31   1.23  1.003  0.999 2.73E-03 1.17E-03 2.54E-19 6.14E-02  -5.901  -5.914
 -3.80   3.2149   1.988    -3.06  47.40   1.23  1.004  0.999 2.94E-03 1.35E-03 9.93E-19 6.53E-02  -5.786  -5.810
 -3.60   3.4147   1.987    -3.06  46.49   1.23  1.004  0.999 3.17E-03 1.56E-03 3.88E-18 6.94E-02  -5.651  -5.689
 -3.40   3.6145   1.986    -3.06  45.58   1.23  1.004  0.999 3.42E-03 1.81E-03 1.52E-17 7.33E-02  -5.503  -5.554
 -3.20   3.8142   1.985    -3.06  44.66   1.24  1.005  0.999 3.69E-03 2.10E-03 5.93E-17 7.75E-02  -5.359  -5.419
 -3.00   4.0139   1.983    -3.06  43.75   1.24  1.006  0.998 3.99E-03 2.43E-03 2.31E-16 8.18E-02  -5.201  -5.273
 -2.80   4.2135   1.981    -3.06  42.84   1.24  1.007  0.998 4.34E-03 2.84E-03 9.00E-16 8.63E-02  -5.037  -5.123
 -2.60   4.4130   1.979    -3.06  41.93   1.25  1.008  0.998 4.77E-03 3.32E-03 3.50E-15 9.08E-02  -4.873  -4.968
 -2.40   4.6125   1.977    -3.07  41.01   1.26  1.010  0.998 5.30E-03 3.94E-03 1.35E-14 9.56E-02  -4.712  -4.812
 -2.20   4.8121   1.975    -3.07  40.10   1.28  1.012  0.998 5.94E-03 4.70E-03 5.21E-14 1.01E-01  -4.562  -4.657
 -2.00   5.0114   1.972    -3.08  39.18   1.31  1.015  0.998 6.79E-03 5.69E-03 2.01E-13 1.05E-01  -4.418  -4.504
 -1.80   5.2108   1.969    -3.09  38.27   1.34  1.019  0.997 7.86E-03 6.94E-03 7.73E-13 1.10E-01  -4.274  -4.352
 -1.60   5.4095   1.963    -3.10  37.35   1.40  1.025  0.996 9.38E-03 8.66E-03 2.96E-12 1.13E-01  -4.118  -4.188
 -1.40   5.6085   1.959    -3.12  36.43   1.48  1.032  0.994 1.14E-02 1.09E-02 1.12E-11 1.18E-01  -3.952  -4.015
 -1.20   5.8071   1.952    -3.14  35.51   1.61  1.043  0.991 1.43E-02 1.40E-02 4.20E-11 1.23E-01  -3.776  -3.836
 -1.00   6.0040   1.939    -3.19  34.56   1.80  1.060  0.989 1.87E-02 1.85E-02 1.59E-10 1.23E-01  -3.593  -3.649
 -0.80   6.2015   1.927    -3.24  33.62   2.07  1.081  0.986 2.45E-02 2.44E-02 5.76E-10 1.28E-01  -3.405  -3.459
 -0.60   6.3984   1.913    -3.31  32.66   2.45  1.110  0.982 3.26E-02 3.25E-02 2.05E-09 1.33E-01  -3.211  -3.264
