 FILTERED output of ioneqmn.
    NRmax =  54,  NTmax =  21
                      thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
     5.700    13.800
 -7.40  -0.3830   1.998    -7.24  65.20   1.01  1.001  1.000 6.27E-04 9.85E-05 0.00E+00 1.13E-02  -7.233  -7.233
 -7.20  -0.1831   1.997    -7.24  64.28   1.01  1.001  0.999 7.02E-04 1.14E-04 0.00E+00 1.28E-02  -7.227  -7.227
 -7.00   0.0168   1.997    -7.24  63.36   1.01  1.001  0.999 7.83E-04 1.33E-04 0.00E+00 1.46E-02  -7.220  -7.220
 -6.80   0.2167   1.996    -7.24  62.44   1.01  1.001  0.999 8.70E-04 1.54E-04 0.00E+00 1.66E-02  -7.212  -7.212
 -6.60   0.4166   1.996    -7.24  61.53   1.01  1.001  0.999 9.62E-04 1.78E-04 0.00E+00 1.87E-02  -7.204  -7.204
 -6.40   0.6165   1.995    -7.24  60.61   1.01  1.001  0.999 1.06E-03 2.06E-04 0.00E+00 2.11E-02  -7.195  -7.195
 -6.20   0.8163   1.994    -7.24  59.69   1.02  1.002  0.999 1.16E-03 2.39E-04 0.00E+00 2.37E-02  -7.186  -7.186
 -6.00   1.0162   1.994    -7.24  58.78   1.02  1.002  0.999 1.27E-03 2.77E-04 0.00E+00 2.64E-02  -7.176  -7.176
 -5.80   1.2161   1.993    -7.24  57.86   1.02  1.002  0.999 1.38E-03 3.20E-04 0.00E+00 2.94E-02  -7.166  -7.166
 -5.60   1.4159   1.992    -7.23  56.95   1.02  1.002  0.999 1.50E-03 3.71E-04 0.00E+00 3.26E-02  -7.154  -7.154
 -5.40   1.6158   1.992    -7.23  56.03   1.02  1.002  0.999 1.62E-03 4.29E-04 0.00E+00 3.58E-02  -7.142  -7.142
 -5.20   1.8157   1.991    -7.23  55.12   1.02  1.002  0.999 1.75E-03 4.96E-04 0.00E+00 3.92E-02  -7.129  -7.129
 -5.00   2.0155   1.991    -7.23  54.21   1.02  1.002  0.999 1.89E-03 5.74E-04 0.00E+00 4.27E-02  -7.114  -7.114
 -4.80   2.2154   1.990    -7.23  53.29   1.02  1.003  0.999 2.04E-03 6.65E-04 0.00E+00 4.64E-02  -7.097  -7.097
 -4.60   2.4153   1.990    -7.23  52.38   1.03  1.003  0.999 2.20E-03 7.69E-04 0.00E+00 5.01E-02  -7.077  -7.077
 -4.40   2.6152   1.989    -7.22  51.47   1.03  1.003  0.999 2.38E-03 8.92E-04 1.28E-19 5.39E-02  -7.053  -7.053
 -4.20   2.8151   1.989    -7.22  50.55   1.03  1.003  0.999 2.57E-03 1.03E-03 4.99E-19 5.79E-02  -7.022  -7.023
 -4.00   3.0150   1.988    -7.22  49.64   1.03  1.003  0.999 2.78E-03 1.20E-03 1.95E-18 6.18E-02  -6.984  -6.984
 -3.80   3.2148   1.987    -7.22  48.73   1.04  1.004  0.999 3.01E-03 1.40E-03 7.65E-18 6.58E-02  -6.935  -6.935
 -3.60   3.4147   1.987    -7.22  47.82   1.04  1.004  0.999 3.27E-03 1.63E-03 2.99E-17 6.99E-02  -6.872  -6.873
 -3.40   3.6144   1.986    -7.22  46.91   1.05  1.005  0.999 3.56E-03 1.90E-03 1.17E-16 7.38E-02  -6.794  -6.796
 -3.20   3.8142   1.984    -7.22  45.99   1.05  1.005  0.999 3.89E-03 2.24E-03 4.57E-16 7.80E-02  -6.700  -6.703
 -3.00   4.0138   1.983    -7.22  45.08   1.06  1.006  0.998 4.25E-03 2.64E-03 1.78E-15 8.23E-02  -6.590  -6.596
 -2.80   4.2134   1.981    -7.22  44.17   1.08  1.008  0.998 4.70E-03 3.14E-03 6.93E-15 8.68E-02  -6.463  -6.474
 -2.60   4.4129   1.979    -7.22  43.25   1.09  1.000  0.998 5.25E-03 3.77E-03 2.68E-14 9.16E-02  -6.321  -6.340
 -2.40   4.6123   1.976    -7.23  42.34   1.13  1.012  0.998 5.93E-03 4.54E-03 1.04E-13 9.63E-02  -6.166  -6.195
 -2.20   4.8118   1.974    -7.24  41.43   1.18  1.016  0.997 6.87E-03 5.60E-03 4.00E-13 1.02E-01  -6.000  -6.041
 -2.00   5.0109   1.969    -7.25  40.51   1.26  1.021  0.997 8.11E-03 6.99E-03 1.54E-12 1.06E-01  -5.822  -5.877
 -1.80   5.2101   1.966    -7.26  39.59   1.37  1.029  0.996 9.89E-03 8.96E-03 5.89E-12 1.11E-01  -5.635  -5.704
 -1.60   5.4085   1.959    -7.29  38.66   1.54  1.039  0.995 1.24E-02 1.16E-02 2.24E-11 1.15E-01  -5.450  -5.529
 -1.40   5.6073   1.953    -7.32  37.73   1.79  1.055  0.993 1.60E-02 1.55E-02 8.43E-11 1.20E-01  -5.276  -5.355
 -1.20   5.8057   1.946    -7.37  36.78   2.16  1.077  0.990 2.11E-02 2.08E-02 3.14E-10 1.24E-01  -5.116  -5.186
 -1.00   6.0022   1.930    -7.45  35.80   2.72  1.110  0.985 2.90E-02 2.88E-02 1.17E-09 1.22E-01  -4.959  -5.017
 -0.80   6.1987   1.915    -7.55  34.81   3.49  1.154  0.979 3.96E-02 3.95E-02 4.19E-09 1.27E-01  -4.799  -4.848
 -0.60   6.3940   1.894    -7.70  33.79   4.55  1.214  0.973 5.47E-02 5.47E-02 1.46E-08 1.30E-01  -4.631  -4.674
 -0.40   6.5877   1.867    -7.90  32.72   5.94  1.292  0.964 7.53E-02 7.53E-02 4.89E-08 1.32E-01  -4.461  -4.499
 -0.20   6.7797   1.833    -8.17  31.60   7.66  1.388  0.954 1.03E-01 1.03E-01 1.57E-07 1.33E-01  -4.291  -4.328
  0.00   6.9665   1.778    -8.54  30.37   9.76  1.505  0.943 1.40E-01 1.40E-01 4.85E-07 1.24E-01  -4.125  -4.160
  0.20   7.1541   1.728    -8.96  29.14  11.64  1.644  0.933 1.82E-01 1.82E-01 1.37E-06 1.24E-01  -3.965  -3.999
  0.40   7.3397   1.672    -9.46  27.86  13.84  1.740  0.923 2.31E-01 2.31E-01 3.59E-06 1.23E-01  -3.812  -3.845
  0.60   7.5236   1.611   -10.02  26.55  15.53  1.846  0.915 2.84E-01 2.84E-01 8.72E-06 1.20E-01  -3.664  -3.696
  0.80   7.7062   1.548   -10.62  25.21  16.73  1.931  0.910 3.40E-01 3.40E-01 1.94E-05 1.18E-01  -3.519  -3.551
  1.00   7.8881   1.484   -11.23  23.90  17.41  1.980  0.908 3.94E-01 3.94E-01 3.91E-05 1.17E-01  -3.375  -3.407
  1.20   8.0702   1.424   -11.83  22.62  17.39  1.999  0.911 4.42E-01 4.42E-01 7.03E-05 1.19E-01  -3.223  -3.255
  1.40   8.2530   1.369   -12.42  21.39  17.20  1.972  0.918 4.82E-01 4.82E-01 1.10E-04 1.27E-01  -3.065  -3.097
  1.60   8.4377   1.322   -12.96  20.23  16.48  1.920  0.930 5.09E-01 5.09E-01 1.41E-04 1.43E-01  -2.890  -2.923
  1.80   8.6253   1.284   -13.45  19.15  15.56  1.840  0.946 5.19E-01 5.19E-01 1.36E-04 1.70E-01  -2.683  -2.716
  2.00   8.8167   1.259   -13.88  18.14  14.59  1.738  0.969 5.09E-01 5.09E-01 8.71E-05 2.12E-01  -2.437  -2.469
  2.20   9.0134   1.250   -14.24  17.21  13.68  1.615  1.000 4.72E-01 4.72E-01 2.94E-05 2.72E-01  -2.124  -2.155
  2.40   9.2172   1.261   -14.54  16.34  12.96  1.470  1.040 4.05E-01 4.05E-01 3.65E-06 3.55E-01  -1.726  -1.757
  2.60   9.4299   1.298   -14.76  15.56  12.56  1.280  1.089 3.02E-01 3.02E-01 9.46E-08 4.61E-01  -1.141  -1.174
  2.80   9.6521   1.366   -14.88  14.86  12.45  1.015  1.133 1.70E-01 1.70E-01 2.04E-10 5.79E-01  -0.250  -0.290
  3.00   9.8795   1.455   -14.80  14.32  12.28  0.639  1.125 4.97E-02 4.97E-02 8.35E-15 6.54E-01   0.995   0.917
  3.20  10.0927   1.500   -14.45  14.01  11.06  0.234  0.971 3.10E-03 3.10E-03 0.00E+00 6.07E-01   1.510   1.423
  3.40  10.2545   1.374   -13.94  13.84   6.92  0.029  0.540 7.42E-06 7.42E-06 0.00E+00 4.64E-01   1.855   1.770
     5.800    13.800
 -7.40   0.0170   1.997    -5.54  64.05   1.04  1.001  1.000 6.62E-04 1.10E-04 0.00E+00 1.23E-02  -6.918  -6.918
 -7.20   0.2169   1.997    -5.54  63.13   1.04  1.001  0.999 7.37E-04 1.27E-04 0.00E+00 1.40E-02  -6.906  -6.906
 -7.00   0.4168   1.996    -5.54  62.22   1.04  1.001  0.999 8.16E-04 1.47E-04 0.00E+00 1.58E-02  -6.893  -6.893
 -6.80   0.6167   1.996    -5.54  61.30   1.04  1.001  0.999 9.01E-04 1.71E-04 0.00E+00 1.79E-02  -6.880  -6.880
 -6.60   0.8165   1.995    -5.54  60.38   1.04  1.001  0.999 9.90E-04 1.98E-04 0.00E+00 2.01E-02  -6.866  -6.866
 -6.40   1.0164   1.995    -5.54  59.47   1.04  1.002  0.999 1.08E-03 2.29E-04 0.00E+00 2.26E-02  -6.852  -6.852
 -6.20   1.2163   1.994    -5.54  58.55   1.04  1.002  0.999 1.18E-03 2.65E-04 0.00E+00 2.52E-02  -6.837  -6.837
 -6.00   1.4162   1.994    -5.54  57.64   1.04  1.002  0.999 1.28E-03 3.06E-04 0.00E+00 2.80E-02  -6.821  -6.821
 -5.80   1.6161   1.993    -5.53  56.72   1.04  1.002  0.999 1.39E-03 3.54E-04 0.00E+00 3.10E-02  -6.805  -6.805
 -5.60   1.8159   1.992    -5.53  55.81   1.04  1.000  0.997 1.50E-03 4.09E-04 0.00E+00 3.41E-02  -6.789  -6.789
 -5.40   2.0158   1.992    -5.53  54.89   1.05  1.002  0.999 1.62E-03 4.72E-04 0.00E+00 3.73E-02  -6.772  -6.772
 -5.20   2.2157   1.991    -5.53  53.98   1.05  1.002  0.999 1.75E-03 5.45E-04 0.00E+00 4.06E-02  -6.753  -6.753
 -5.00   2.4156   1.991    -5.53  53.07   1.05  1.002  0.999 1.88E-03 6.29E-04 0.00E+00 4.40E-02  -6.733  -6.733
 -4.80   2.6155   1.990    -5.53  52.15   1.05  1.002  0.999 2.03E-03 7.26E-04 0.00E+00 4.75E-02  -6.710  -6.710
 -4.60   2.8154   1.990    -5.52  51.24   1.05  1.003  0.999 2.18E-03 8.37E-04 0.00E+00 5.10E-02  -6.683  -6.683
 -4.40   3.0153   1.990    -5.52  50.33   1.05  1.003  0.999 2.36E-03 9.66E-04 0.00E+00 5.48E-02  -6.650  -6.650
 -4.20   3.2152   1.989    -5.52  49.42   1.05  1.003  0.999 2.54E-03 1.12E-03 0.00E+00 5.85E-02  -6.609  -6.610
 -4.00   3.4151   1.989    -5.52  48.50   1.06  1.003  0.999 2.74E-03 1.29E-03 0.00E+00 6.22E-02  -6.557  -6.558
 -3.80   3.6149   1.988    -5.52  47.59   1.06  1.003  0.999 2.95E-03 1.48E-03 1.53E-19 6.61E-02  -6.492  -6.493
 -3.60   3.8148   1.987    -5.52  46.68   1.06  1.004  0.999 3.18E-03 1.71E-03 5.99E-19 7.00E-02  -6.411  -6.414
 -3.40   4.0145   1.986    -5.52  45.77   1.06  1.004  0.999 3.42E-03 1.97E-03 2.35E-18 7.39E-02  -6.313  -6.320
 -3.20   4.2142   1.984    -5.52  44.86   1.07  1.005  0.999 3.67E-03 2.26E-03 9.16E-18 7.80E-02  -6.198  -6.212
 -3.00   4.4139   1.983    -5.52  43.95   1.07  1.005  0.999 3.95E-03 2.60E-03 3.57E-17 8.24E-02  -6.068  -6.091
 -2.80   4.6135   1.981    -5.52  43.03   1.07  1.006  0.998 4.25E-03 2.98E-03 1.39E-16 8.68E-02  -5.926  -5.960
 -2.60   4.8130   1.979    -5.52  42.12   1.08  1.007  0.998 4.61E-03 3.44E-03 5.39E-16 9.13E-02  -5.782  -5.824
 -2.40   5.0127   1.978    -5.52  41.21   1.09  1.008  0.998 5.02E-03 3.97E-03 2.08E-15 9.66E-02  -5.630  -5.682
 -2.20   5.2120   1.975    -5.52  40.30   1.10  1.010  0.998 5.54E-03 4.65E-03 8.07E-15 1.01E-01  -5.469  -5.532
 -2.00   5.4116   1.973    -5.53  39.39   1.11  1.012  0.998 6.18E-03 5.46E-03 3.10E-14 1.06E-01  -5.307  -5.379
 -1.80   5.6107   1.968    -5.54  38.47   1.13  1.015  0.998 7.00E-03 6.46E-03 1.19E-13 1.10E-01  -5.146  -5.223
 -1.60   5.8101   1.966    -5.55  37.56   1.16  1.019  0.997 8.09E-03 7.73E-03 4.57E-13 1.15E-01  -4.991  -5.068
