 FILTERED output of ioneqmn.
    NRmax =  55,  NTmax =  21
                       thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
     5.700    14.000
 -7.40  -0.3830   1.998   -12.07  66.12   1.00  1.001  1.000 6.28E-04 9.86E-05 0.00E+00 1.13E-02  -7.710  -7.710
 -7.20  -0.1831   1.997   -12.07  65.20   1.00  1.001  0.999 7.02E-04 1.14E-04 0.00E+00 1.28E-02  -7.708  -7.708
 -7.00   0.0168   1.997   -12.07  64.28   1.00  1.001  0.999 7.83E-04 1.33E-04 0.00E+00 1.46E-02  -7.705  -7.705
 -6.80   0.2167   1.996   -12.07  63.36   1.00  1.001  0.999 8.70E-04 1.54E-04 0.00E+00 1.66E-02  -7.703  -7.703
 -6.60   0.4166   1.996   -12.07  62.45   1.01  1.001  0.999 9.62E-04 1.79E-04 0.00E+00 1.87E-02  -7.699  -7.699
 -6.40   0.6165   1.995   -12.07  61.53   1.01  1.001  0.999 1.06E-03 2.07E-04 0.00E+00 2.11E-02  -7.696  -7.696
 -6.20   0.8163   1.994   -12.07  60.61   1.01  1.002  0.999 1.16E-03 2.40E-04 0.00E+00 2.37E-02  -7.692  -7.692
 -6.00   1.0162   1.994   -12.06  59.70   1.01  1.002  0.999 1.27E-03 2.78E-04 0.00E+00 2.64E-02  -7.688  -7.688
 -5.80   1.2161   1.993   -12.06  58.78   1.01  1.002  0.999 1.38E-03 3.22E-04 0.00E+00 2.94E-02  -7.684  -7.684
 -5.60   1.4159   1.992   -12.06  57.87   1.01  1.002  0.999 1.50E-03 3.73E-04 0.00E+00 3.26E-02  -7.679  -7.679
 -5.40   1.6158   1.992   -12.06  56.95   1.01  1.002  0.999 1.63E-03 4.32E-04 0.00E+00 3.58E-02  -7.674  -7.674
 -5.20   1.8157   1.991   -12.06  56.04   1.01  1.002  0.999 1.76E-03 5.00E-04 0.00E+00 3.92E-02  -7.668  -7.668
 -5.00   2.0155   1.991   -12.06  55.13   1.01  1.002  0.999 1.90E-03 5.80E-04 0.00E+00 4.28E-02  -7.662  -7.662
 -4.80   2.2154   1.990   -12.05  54.21   1.02  1.003  0.999 2.05E-03 6.71E-04 0.00E+00 4.64E-02  -7.654  -7.654
 -4.60   2.4153   1.990   -12.05  53.30   1.02  1.003  0.999 2.21E-03 7.81E-04 1.81E-19 5.01E-02  -7.645  -7.645
 -4.40   2.6152   1.989   -12.05  52.39   1.02  1.003  0.999 2.39E-03 9.06E-04 7.09E-19 5.39E-02  -7.635  -7.635
 -4.20   2.8151   1.989   -12.05  51.47   1.02  1.003  0.999 2.59E-03 1.06E-03 2.78E-18 5.79E-02  -7.621  -7.621
 -4.00   3.0150   1.988   -12.05  50.56   1.03  1.003  0.999 2.82E-03 1.24E-03 1.09E-17 6.18E-02  -7.603  -7.603
 -3.80   3.2148   1.987   -12.05  49.65   1.03  1.004  0.999 3.07E-03 1.45E-03 4.26E-17 6.58E-02  -7.580  -7.580
 -3.60   3.4146   1.987   -12.05  48.74   1.04  1.004  0.999 3.36E-03 1.72E-03 1.66E-16 6.99E-02  -7.549  -7.549
 -3.40   3.6144   1.985   -12.05  47.82   1.05  1.005  0.999 3.69E-03 2.02E-03 6.51E-16 7.38E-02  -7.508  -7.509
 -3.20   3.8141   1.984   -12.05  46.91   1.07  1.006  0.998 4.10E-03 2.43E-03 2.54E-15 7.80E-02  -7.454  -7.454
 -3.00   4.0138   1.983   -12.05  46.00   1.09  1.008  0.998 4.56E-03 2.91E-03 9.90E-15 8.23E-02  -7.385  -7.386
 -2.80   4.2133   1.981   -12.05  45.09   1.12  1.010  0.998 5.19E-03 3.57E-03 3.85E-14 8.67E-02  -7.298  -7.299
 -2.60   4.4128   1.978   -12.06  44.17   1.15  1.003  0.998 5.93E-03 4.37E-03 1.49E-13 9.15E-02  -7.194  -7.195
 -2.40   4.6121   1.975   -12.07  43.25   1.24  1.017  0.997 6.99E-03 5.52E-03 5.75E-13 9.61E-02  -7.070  -7.074
 -2.20   4.8115   1.972   -12.08  42.33   1.36  1.024  0.996 8.43E-03 7.11E-03 2.21E-12 1.01E-01  -6.930  -6.936
 -2.00   5.0103   1.967   -12.10  41.41   1.52  1.033  0.995 1.03E-02 9.15E-03 8.49E-12 1.06E-01  -6.775  -6.785
 -1.80   5.2092   1.962   -12.13  40.48   1.78  1.046  0.994 1.31E-02 1.22E-02 3.23E-11 1.11E-01  -6.603  -6.620
 -1.60   5.4073   1.953   -12.17  39.53   2.16  1.066  0.992 1.71E-02 1.64E-02 1.22E-10 1.15E-01  -6.420  -6.448
 -1.40   5.6054   1.945   -12.23  38.57   2.72  1.094  0.989 2.30E-02 2.25E-02 4.54E-10 1.20E-01  -6.224  -6.267
 -1.20   5.8030   1.934   -12.32  37.59   3.52  1.134  0.985 3.14E-02 3.10E-02 1.66E-09 1.24E-01  -6.026  -6.083
 -1.00   5.9985   1.914   -12.46  36.55   4.72  1.193  0.980 4.44E-02 4.42E-02 6.08E-09 1.22E-01  -5.833  -5.896
 -0.80   6.1939   1.894   -12.64  35.49   6.28  1.269  0.973 6.15E-02 6.15E-02 2.12E-08 1.25E-01  -5.660  -5.718
 -0.60   6.3875   1.866   -12.90  34.37   8.34  1.370  0.963 8.58E-02 8.58E-02 7.10E-08 1.26E-01  -5.499  -5.548
 -0.40   6.5791   1.830   -13.25  33.17  10.82  1.493  0.951 1.18E-01 1.18E-01 2.28E-07 1.25E-01  -5.345  -5.384
 -0.20   6.7680   1.784   -13.69  31.89  13.64  1.636  0.938 1.59E-01 1.59E-01 6.90E-07 1.22E-01  -5.190  -5.221
  0.00   6.9515   1.718   -14.27  30.49  16.64  1.786  0.926 2.11E-01 2.11E-01 1.99E-06 1.10E-01  -5.036  -5.063
  0.20   7.1357   1.657   -14.89  29.08  19.17  1.924  0.915 2.68E-01 2.68E-01 5.19E-06 1.06E-01  -4.886  -4.911
