theta_deg,mode,energy_keV,ff_cm2_g,pp_cm2_g,absorption_cm2_g,scattering_cm2_g,total_cm2_g
5.0,1,0.010000000000000002,6.751879367012388e-7,3.9434174991488374e-7,1.0695296866161224e-6,2.966041624758183e-11,1.0695593470323701e-6
5.0,1,0.010121067964510653,6.891853172025733e-7,3.937247018662647e-7,1.082910019068838e-6,3.0382961344564746e-11,1.0829404020301826e-6
5.0,1,0.010243601674224383,7.034704214847007e-7,3.9310783371662e-7,1.0965782552013207e-6,3.112310868908601e-11,1.0966093783100098e-6
5.0,1,0.010367618874620009,7.180491961825537e-7,3.924911477962682e-7,1.1105403439788219e-6,3.188128714435098e-11,1.1105722252659662e-6
5.0,1,0.010493137526017257,7.329277162837721e-7,3.918746464938267e-7,1.1248023627775988e-6,3.265793602594234e-11,1.1248350207136248e-6
5.0,1,0.010620175806177783,7.481121883576364e-7,3.9125833225760364e-7,1.13937052061524e-6,3.345350535686384e-11,1.139403974120597e-6
5.0,1,0.010748752112937706,7.636089535525197e-7,3.906422075972609e-7,1.1542511611497805e-6,3.4268456128755195e-11,1.1542854296059092e-6
5.0,1,0.010878885066872002,7.794244908760324e-7,3.900262750853758e-7,1.1694507659614082e-6,3.510326056954537e-11,1.1694858692219778e-6
5.0,1,0.011010593513991156,7.955654207126808e-7,3.894105373589512e-7,1.184975958071632e-6,3.595840241769313e-11,1.1850119164740497e-6
5.0,1,0.011143896528470467,8.120385080615694e-7,3.887949971211961e-7,1.2008335051827655e-6,3.683437720305968e-11,1.2008703395599685e-6
5.0,1,0.011278813415412392,8.288506661503105e-7,3.8817965714316694e-7,1.2170303232934774e-6,3.773169253472608e-11,1.2170680549860121e-6
5.0,1,0.011415363713642336,8.460089601771346e-7,3.8756452026545806e-7,1.2335734804425928e-6,3.8650868395871355e-11,1.2336121313109886e-6
5.0,1,0.01155356719853828,8.635206109082281e-7,3.8694958940004874e-7,1.2504702003082768e-6,3.959243744582143e-11,1.2505097927457226e-6
5.0,1,0.01169344388489469,8.813930008754369e-7,3.8633486753209574e-7,1.2677278684075326e-6,4.0556945329548e-11,1.2677684253528622e-6
5.0,1,0.011835014029821064,9.003573249764127e-7,3.857203577187303e-7,1.286077682695143e-6,4.1544950994733303e-11,1.2861192276461377e-6
5.0,1,0.011978298135675611,9.189672348684413e-7,3.851060631034093e-7,1.3040732979718506e-6,4.255702701667306e-11,1.3041158549988673e-6
5.0,1,0.01212331695303441,9.372484685531488e-7,3.844919869018257e-7,1.3217404554549745e-6,4.359375993108559e-11,1.3217840492149056e-6
5.0,1,0.012270091483696548,9.566414615512965e-7,3.838781324050517e-7,1.3405195939563482e-6,4.4655750575118905e-11,1.3405642497069233e-6
5.0,1,0.012418642983725612,9.764346110563848e-7,3.8326450299607044e-7,1.3596991140524553e-6,4.574361443667738e-11,1.359744857666892e-6
5.0,1,0.012568992966528029,9.966363886782074e-7,3.8265110213978037e-7,1.3792874908179878e-6,4.6857982012534564e-11,1.3793343488000003e-6
5.0,1,0.012721163205968656,1.0172553089382477e-6,3.82037933388369e-7,1.3992932423266167e-6,4.799949917496131e-11,1.3993412418257916e-6
5.0,1,0.0128751757395241,1.0383002272708199e-6,3.814250003833975e-7,1.4197252276542174e-6,4.9168827547589415e-11,1.419774396481765e-6
