figure,panel,theta_deg,color,x_pixel,y_min_pixel,y_max_pixel,y_pixel,segment_len_px,energy_keV,opacity_cm2_g
Suleimanov2009_Fig2,1,5,magenta,49,202,204,203.0,3,0.01011370383658994,0.9880169561019279
Suleimanov2009_Fig2,1,5,magenta,49,319,321,320.0,3,0.01011370383658994,7.397925400479947e-07
Suleimanov2009_Fig2,1,5,magenta,50,202,204,203.0,3,0.0102287005294254,0.9880169561019279
Suleimanov2009_Fig2,1,5,magenta,50,318,321,319.5,4,0.0102287005294254,7.857564562227345e-07
Suleimanov2009_Fig2,1,5,magenta,51,202,204,203.0,3,0.01034500477877792,0.9880169561019279
Suleimanov2009_Fig2,1,5,magenta,51,318,320,319.0,3,0.01034500477877792,8.345761481396594e-07
Suleimanov2009_Fig2,1,5,magenta,52,202,204,203.0,3,0.010462631452066745,0.9880169561019279
Suleimanov2009_Fig2,1,5,magenta,52,318,320,319.0,3,0.010462631452066745,8.345761481396594e-07
Suleimanov2009_Fig2,1,5,magenta,53,202,204,203.0,3,0.0105815955857594,0.9880169561019279
Suleimanov2009_Fig2,1,5,magenta,53,318,320,319.0,3,0.0105815955857594,8.345761481396594e-07
Suleimanov2009_Fig2,1,5,magenta,54,201,203,202.0,3,0.0107019123872938,1.114603542050757
Suleimanov2009_Fig2,1,5,magenta,54,318,320,319.0,3,0.0107019123872938,8.345761481396594e-07
Suleimanov2009_Fig2,1,5,magenta,55,201,203,202.0,3,0.010823597237022264,1.114603542050757
Suleimanov2009_Fig2,1,5,magenta,55,318,320,319.0,3,0.010823597237022264,8.345761481396594e-07
Suleimanov2009_Fig2,1,5,magenta,56,201,203,202.0,3,0.010946665690177633,1.114603542050757
Suleimanov2009_Fig2,1,5,magenta,56,318,320,319.0,3,0.010946665690177633,8.345761481396594e-07
Suleimanov2009_Fig2,1,5,magenta,57,201,203,202.0,3,0.011071133478861692,1.114603542050757
Suleimanov2009_Fig2,1,5,magenta,57,317,320,318.5,4,0.011071133478861692,8.864290474836294e-07
Suleimanov2009_Fig2,1,5,magenta,58,201,203,202.0,3,0.01119701651405628,1.114603542050757
Suleimanov2009_Fig2,1,5,magenta,58,317,320,318.5,4,0.01119701651405628,8.864290474836294e-07
Suleimanov2009_Fig2,1,5,magenta,59,200,202,201.0,3,0.011324330887657191,1.2574086388694763
Suleimanov2009_Fig2,1,5,magenta,59,317,319,318.0,3,0.011324330887657191,9.415036099153468e-07
Suleimanov2009_Fig2,1,5,magenta,60,200,202,201.0,3,0.011453092874531242,1.2574086388694763
Suleimanov2009_Fig2,1,5,magenta,60,317,319,318.0,3,0.011453092874531242,9.415036099153468e-07
Suleimanov2009_Fig2,1,5,magenta,61,200,202,201.0,3,0.011583318934596751,1.2574086388694763
Suleimanov2009_Fig2,1,5,magenta,61,317,319,318.0,3,0.011583318934596751,9.415036099153468e-07
Suleimanov2009_Fig2,1,5,magenta,62,200,202,201.0,3,0.011715025714927605,1.2574086388694763
Suleimanov2009_Fig2,1,5,magenta,62,317,319,318.0,3,0.011715025714927605,9.415036099153468e-07
Suleimanov2009_Fig2,1,5,magenta,63,200,202,201.0,3,0.011848230051881304,1.2574086388694763
Suleimanov2009_Fig2,1,5,magenta,64,199,202,200.5,4,0.011982948973251216,1.3355324670316755
Suleimanov2009_Fig2,1,5,magenta,65,199,201,200.0,3,0.012119199700443223,1.4185101925968848
Suleimanov2009_Fig2,1,5,magenta,66,199,201,200.0,3,0.012256999650677227,1.4185101925968848
Suleimanov2009_Fig2,1,5,magenta,67,199,201,200.0,3,0.01239636643921358,1.4185101925968848
Suleimanov2009_Fig2,1,5,magenta,68,199,201,200.0,3,0.012537317881604908,1.4185101925968848
Suleimanov2009_Fig2,1,5,magenta,69,198,201,199.5,4,0.01267987199597352,1.5066433921845792
Suleimanov2009_Fig2,1,5,magenta,70,198,200,199.0,3,0.012824047005314672,1.6002523796165153
Suleimanov2009_Fig2,1,5,magenta,71,198,200,199.0,3,0.012969861339826064,1.6002523796165153
Suleimanov2009_Fig2,1,5,magenta,72,198,200,199.0,3,0.013117333639263838,1.6002523796165153
Suleimanov2009_Fig2,1,5,magenta,73,198,200,199.0,3,0.013266482755325288,1.6002523796165153
Suleimanov2009_Fig2,1,5,magenta,74,198,200,199.0,3,0.013417327754058763,1.6002523796165153
Suleimanov2009_Fig2,1,5,magenta,75,197,200,198.5,4,0.013569887918300877,1.6996773700744547
Suleimanov2009_Fig2,1,5,magenta,75,315,317,316.0,3,0.013569887918300877,1.1982130117534323e-06
Suleimanov2009_Fig2,1,5,magenta,76,197,199,198.0,3,0.013724182750141497,1.8052797165878849
Suleimanov2009_Fig2,1,5,magenta,76,314,317,315.5,4,0.013724182750141497,1.2726589671399847e-06
Suleimanov2009_Fig2,1,5,magenta,77,197,199,198.0,3,0.013880231973416752,1.8052797165878849
Suleimanov2009_Fig2,1,5,magenta,77,314,317,315.5,4,0.013880231973416752,1.2726589671399847e-06
Suleimanov2009_Fig2,1,5,magenta,78,197,199,198.0,3,0.014038055536230326,1.8052797165878849
Suleimanov2009_Fig2,1,5,magenta,78,314,316,315.0,3,0.014038055536230326,1.3517303106829438e-06
Suleimanov2009_Fig2,1,5,magenta,79,197,199,198.0,3,0.014197673613503528,1.8052797165878849
Suleimanov2009_Fig2,1,5,magenta,79,314,316,315.0,3,0.014197673613503528,1.3517303106829438e-06
Suleimanov2009_Fig2,1,5,magenta,80,197,199,198.0,3,0.014359106609554237,1.8052797165878849
Suleimanov2009_Fig2,1,5,magenta,80,314,316,315.0,3,0.014359106609554237,1.3517303106829438e-06
Suleimanov2009_Fig2,1,5,magenta,81,196,198,197.0,3,0.014522375160705257,2.0365755406060657
