 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
     5.300    13.300
 -7.40  -1.9828   1.999  -5.547 67.489  1.062  1.001  1.000 5.50E-04 1.44E-04 1.47E-19 7.70E-03 -7.062 -7.062
 -7.20  -1.7828   1.998  -5.547 66.569  1.075  1.002  1.000 6.51E-04 1.89E-04 5.84E-19 8.85E-03 -7.062 -7.062
 -7.00  -1.5829   1.998  -5.547 65.649  1.096  1.002  0.999 7.91E-04 2.68E-04 2.31E-18 1.02E-02 -7.062 -7.062
 -6.80  -1.3831   1.997  -5.549 64.728  1.129  1.003  1.000 9.79E-04 3.87E-04 9.16E-18 1.16E-02 -7.062 -7.062
 -6.60  -1.1832   1.996  -5.550 63.807  1.176  1.005  0.999 1.20E-03 5.35E-04 3.62E-17 1.33E-02 -7.062 -7.062
 -6.40  -0.9834   1.996  -5.554 62.884  1.255  1.007  0.999 1.54E-03 7.96E-04 1.43E-16 1.51E-02 -7.061 -7.061
 -6.20  -0.7836   1.995  -5.559 61.960  1.371  1.010  0.999 1.97E-03 1.14E-03 5.65E-16 1.72E-02 -7.061 -7.061
 -6.00  -0.5839   1.993  -5.568 61.030  1.563  1.015  0.998 2.65E-03 1.73E-03 2.22E-15 1.96E-02 -7.060 -7.060
 -5.80  -0.3842   1.992  -5.582 60.098  1.846  1.022  0.998 3.56E-03 2.54E-03 8.73E-15 2.21E-02 -7.059 -7.059
 -5.60  -0.1847   1.990  -5.606 59.156  2.304  1.034  0.997 5.02E-03 3.90E-03 3.42E-14 2.49E-02 -7.057 -7.057
 -5.40   0.0147   1.987  -5.642 58.204  2.990  1.052  0.996 7.05E-03 5.82E-03 1.34E-13 2.79E-02 -7.054 -7.054
 -5.20   0.2139   1.983  -5.701 57.230  4.074  1.080  0.995 1.03E-02 8.99E-03 5.19E-13 3.11E-02 -7.049 -7.049
 -5.00   0.4126   1.977  -5.792 56.225  5.729  1.122  1.009 1.53E-02 1.39E-02 2.00E-12 3.44E-02 -7.041 -7.041
 -4.80   0.6110   1.970  -5.928 55.178  8.162  1.184  0.989 2.24E-02 2.09E-02 7.63E-12 3.78E-02 -7.028 -7.028
 -4.60   0.8084   1.958  -6.140 54.060 11.902  1.274  0.980 3.35E-02 3.19E-02 2.86E-11 4.10E-02 -7.008 -7.008
 -4.40   1.0048   1.942  -6.445 52.857 16.864  1.410  0.978 4.92E-02 4.75E-02 1.05E-10 4.37E-02 -6.981 -6.981
 -4.20   1.1995   1.918  -6.899 51.513 23.843  1.596  0.968 7.26E-02 7.08E-02 3.75E-10 4.59E-02 -6.942 -6.943
 -4.00   1.3922   1.887  -7.525 50.010 32.675  1.836  0.956 1.04E-01 1.02E-01 1.28E-09 4.72E-02 -6.891 -6.892
 -3.80   1.5822   1.843  -8.377 48.299 43.009  2.132  0.942 1.48E-01 1.46E-01 4.13E-09 4.73E-02 -6.824 -6.825
 -3.60   1.7694   1.790  -9.451 46.387 53.775  2.459  0.927 2.02E-01 2.00E-01 1.25E-08 4.59E-02 -6.740 -6.741
 -3.40   1.9534   1.725 -10.750 44.280 63.349  2.784  0.912 2.67E-01 2.66E-01 3.51E-08 4.29E-02 -6.638 -6.639
 -3.20   2.1349   1.653 -12.220 42.030 70.152  3.069  0.900 3.40E-01 3.39E-01 9.12E-08 3.89E-02 -6.519 -6.521
 -3.00   2.3141   1.576 -13.773 39.737 73.342  3.265  0.892 4.19E-01 4.17E-01 2.19E-07 3.36E-02 -6.383 -6.385
 -2.80   2.4922   1.498 -15.331 37.474 72.805  3.357  0.889 4.97E-01 4.96E-01 4.89E-07 2.80E-02 -6.234 -6.238
 -2.60   2.6703   1.425 -16.828 35.304 69.285  3.348  0.890 5.72E-01 5.71E-01 1.03E-06 2.25E-02 -6.074 -6.079
 -2.40   2.8489   1.356 -18.179 33.318 60.949  3.252  0.896 6.41E-01 6.40E-01 2.05E-06 1.75E-02 -5.903 -5.911
 -2.20   3.0291   1.296 -19.417 31.469 56.811  3.076  0.904 7.02E-01 7.01E-01 3.92E-06 1.33E-02 -5.725 -5.736
 -2.00   3.2111   1.243 -20.483 29.820 49.336  2.865  0.914 7.55E-01 7.55E-01 7.18E-06 9.82E-03 -5.542 -5.556
 -1.80   3.3951   1.198 -21.399 28.342 42.151  2.638  0.925 8.00E-01 8.00E-01 1.28E-05 7.10E-03 -5.353 -5.372
 -1.60   3.5813   1.161 -22.156 27.042 35.606  2.408  0.936 8.38E-01 8.38E-01 2.22E-05 5.03E-03 -5.158 -5.181
 -1.40   3.7695   1.130 -22.792 25.879 29.822  2.193  0.946 8.69E-01 8.69E-01 3.80E-05 3.50E-03 -4.962 -4.991
 -1.20   3.9596   1.104 -23.304 24.853 24.898  1.996  0.955 8.95E-01 8.95E-01 6.38E-05 2.40E-03 -4.763 -4.800
 -1.00   4.1514   1.083 -23.721 23.933 20.779  1.824  0.963 9.16E-01 9.15E-01 1.06E-04 1.64E-03 -4.559 -4.599
 -0.80   4.3446   1.067 -24.067 23.092 17.309  1.677  0.969 9.32E-01 9.32E-01 1.74E-04 1.08E-03 -4.357 -4.408
 -0.60   4.5390   1.053 -24.339 22.332 14.523  1.553  0.975 9.46E-01 9.45E-01 2.84E-04 7.29E-04 -4.154 -4.210
 -0.40   4.7345   1.042 -24.566 21.622 12.215  1.450  0.979 9.56E-01 9.56E-01 4.60E-04 4.69E-04 -3.951 -4.005
 -0.20   4.9308   1.033 -24.744 20.966 10.409  1.368  0.983 9.64E-01 9.64E-01 7.41E-04 3.19E-04 -3.756 -3.816
  0.00   5.1277   1.026 -24.894 20.342  8.950  1.303  0.986 9.70E-01 9.70E-01 1.19E-03 2.23E-04 -3.567 -3.621
  0.20   5.3250   1.020 -25.015 19.749  7.840  1.253  0.988 9.74E-01 9.74E-01 1.90E-03 1.56E-04 -3.392 -3.430
  0.40   5.5227   1.014 -25.123 19.174  7.014  1.219  0.989 9.77E-01 9.77E-01 3.01E-03 1.53E-04 -3.224 -3.248
  0.60   5.7204   1.009 -25.217 18.613  6.440  1.202  0.989 9.77E-01 9.76E-01 4.75E-03 2.08E-04 -3.042 -3.058
  0.80   5.9181   1.004 -25.313 18.054  6.207  1.200  0.987 9.74E-01 9.74E-01 7.44E-03 3.81E-04 -2.849 -2.861
  1.00   6.1153   0.997 -25.415 17.490  6.255  1.219  0.985 9.67E-01 9.67E-01 1.15E-02 8.22E-04 -2.650 -2.662
  1.20   6.3118   0.989 -25.539 16.909  6.637  1.264  0.980 9.56E-01 9.56E-01 1.75E-02 1.88E-03 -2.447 -2.460
  1.40   6.5071   0.979 -25.696 16.298  7.419  1.340  0.972 9.38E-01 9.38E-01 2.59E-02 4.38E-03 -2.240 -2.255
  1.60   6.7007   0.964 -25.904 15.642  8.594  1.450  0.962 9.12E-01 9.12E-01 3.70E-02 1.00E-02 -2.031 -2.049
  1.80   6.8921   0.945 -26.177 14.929 10.111  1.594  0.950 8.74E-01 8.74E-01 5.02E-02 2.22E-02 -1.820 -1.841
  2.00   7.0808   0.921 -26.523 14.151 11.746  1.763  0.937 8.25E-01 8.25E-01 6.30E-02 4.68E-02 -1.606 -1.630
  2.20   7.2669   0.892 -26.943 13.311 13.256  1.936  0.924 7.63E-01 7.63E-01 7.11E-02 9.23E-02 -1.389 -1.415
  2.40   7.4508   0.860 -27.424 12.424 14.336  2.093  0.915 6.93E-01 6.92E-01 6.93E-02 1.67E-01 -1.157 -1.184
  2.60   7.6335   0.826 -27.941 11.512 14.739  2.217  0.912 6.16E-01 6.16E-01 5.47E-02 2.74E-01 -0.881 -0.909
  2.80   7.8162   0.794 -28.469 10.601 14.577  2.293  0.916 5.37E-01 5.37E-01 3.17E-02 3.99E-01 -0.527 -0.555
  3.00   8.0007   0.766 -28.982  9.711 13.812  2.332  0.930 4.60E-01 4.60E-01 1.16E-02 5.16E-01 -0.058 -0.086
  3.20   8.1889   0.745 -29.459  8.853 12.577  2.353  0.954 3.88E-01 3.88E-01 2.08E-03 6.07E-01  0.777  0.745
  3.40   8.3832   0.736 -29.890  8.025 11.279  2.372  0.993 3.24E-01 3.24E-01 1.24E-04 6.76E-01  1.905  1.854
  3.60   8.5875   0.743 -30.263  7.210  9.869  2.430  1.058 2.68E-01 2.68E-01 1.31E-06 7.32E-01  2.085  2.032
     5.350    13.300
 -7.40  -1.7828   1.998  -4.828 66.922  1.069  1.001  1.000 5.06E-04 8.44E-05 0.00E+00 8.08E-03 -6.941 -6.941
 -7.20  -1.5829   1.998  -4.827 66.002  1.071  1.001  1.000 5.80E-04 1.01E-04 0.00E+00 9.28E-03 -6.941 -6.941
 -7.00  -1.3829   1.998  -4.827 65.083  1.074  1.001  0.999 6.68E-04 1.27E-04 0.00E+00 1.06E-02 -6.941 -6.941
 -6.80  -1.1831   1.997  -4.826 64.164  1.078  1.001  0.999 7.65E-04 1.55E-04 0.00E+00 1.22E-02 -6.941 -6.941
 -6.60  -0.9832   1.997  -4.826 63.245  1.085  1.002  0.999 8.86E-04 2.01E-04 3.20E-19 1.39E-02 -6.940 -6.940
 -6.40  -0.7833   1.996  -4.826 62.327  1.094  1.002  0.999 1.02E-03 2.52E-04 1.27E-18 1.58E-02 -6.940 -6.940
 -6.20  -0.5835   1.995  -4.826 61.408  1.110  1.003  1.000 1.19E-03 3.39E-04 5.01E-18 1.80E-02 -6.940 -6.940
 -6.00  -0.3836   1.994  -4.826 60.487  1.132  1.003  0.999 1.38E-03 4.41E-04 1.97E-17 2.05E-02 -6.939 -6.939
 -5.80  -0.1838   1.994  -4.827 59.568  1.169  1.005  0.999 1.65E-03 6.16E-04 7.77E-17 2.31E-02 -6.937 -6.937
 -5.60   0.0159   1.993  -4.829 58.647  1.227  1.007  1.001 2.02E-03 8.78E-04 3.06E-16 2.60E-02 -6.935 -6.935
 -5.40   0.2157   1.991  -4.832 57.725  1.311  1.009  0.999 2.45E-03 1.21E-03 1.20E-15 2.92E-02 -6.932 -6.932
