 FILTERED output of ioneqmn.
    NRmax =  54,  NTmax =  21
                      thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
     5.700    14.900
 -7.40  -0.3830   1.998  -102.87  70.26   1.01  1.001  1.000 6.45E-04 1.16E-04 0.00E+00 1.13E-02  -9.557  -9.557
 -7.20  -0.1831   1.997  -102.87  69.34   1.01  1.001  0.999 7.23E-04 1.35E-04 0.00E+00 1.28E-02  -9.557  -9.557
 -7.00   0.0168   1.997  -102.87  68.43   1.01  1.001  0.999 8.15E-04 1.65E-04 0.00E+00 1.46E-02  -9.557  -9.557
 -6.80   0.2167   1.996  -102.87  67.51   1.01  1.001  0.999 9.07E-04 1.91E-04 0.00E+00 1.66E-02  -9.557  -9.557
 -6.60   0.4166   1.995  -102.87  66.59   1.02  1.002  0.999 1.02E-03 2.37E-04 0.00E+00 1.87E-02  -9.557  -9.557
 -6.40   0.6165   1.995  -102.87  65.67   1.02  1.002  0.999 1.13E-03 2.76E-04 1.21E-19 2.11E-02  -9.557  -9.557
 -6.20   0.8163   1.994  -102.87  64.76   1.03  1.002  0.999 1.27E-03 3.48E-04 4.78E-19 2.37E-02  -9.557  -9.557
 -6.00   1.0162   1.994  -102.87  63.84   1.03  1.003  0.999 1.40E-03 4.07E-04 1.88E-18 2.64E-02  -9.557  -9.557
 -5.80   1.2160   1.993  -102.87  62.92   1.05  1.003  0.999 1.59E-03 5.26E-04 7.41E-18 2.94E-02  -9.557  -9.557
 -5.60   1.4159   1.992  -102.87  62.01   1.07  1.004  0.999 1.82E-03 6.94E-04 2.91E-17 3.25E-02  -9.557  -9.557
 -5.40   1.6157   1.991  -102.87  61.09   1.09  1.005  0.999 2.02E-03 8.24E-04 1.15E-16 3.57E-02  -9.557  -9.557
 -5.20   1.8155   1.991  -102.87  60.18   1.14  1.007  0.999 2.37E-03 1.12E-03 4.51E-16 3.92E-02  -9.557  -9.557
